feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,target
-0.017,-0.467,2.091,0.615,-0.562,-0.414,-1.3,-0.101,-1.1,-0.469,-0.84,0.687,-0.068,-0.089,-0.312,-0.355,0.714,0.42,-1.767,-0.5,0.308,-0.295,-0.766,-0.996,0.778,-0.686,-0.733,0.3,-0.363,1.582,1
-0.443,1.846,-0.711,1.043,-0.762,-0.483,-0.777,-0.448,-1.167,0.501,1.325,-1.163,-2.119,0.547,-1.167,-1.02,1.628,0.348,-0.119,-1.542,0.642,1.502,-0.195,0.744,1.361,0.793,0.478,0.925,0.884,0.781,0
0.466,-2.262,0.537,-0.8,1.672,-0.36,-2.151,-1.359,-0.72,-0.568,-0.544,1.849,-0.009,-0.417,0.474,-0.44,-0.756,1.136,1.276,0.164,2.716,0.809,-1.07,-0.199,-0.989,-2.154,0.391,1.522,-0.533,0.132,0
-0.297,-0.332,-0.445,-0.195,-0.09,-0.445,-1.204,-0.85,-0.183,-0.746,0.714,-0.614,0.802,1.899,-0.228,-1.346,0.918,0.406,0.583,-1.803,2.201,-0.187,0.056,0.254,1.018,-0.082,-0.079,-0.209,-0.344,1.814,0
-1.275,-1.656,-0.094,-1.391,-0.301,0.388,0.674,-2.253,-2.061,0.555,-0.572,-0.284,-2.762,0.892,0.367,0.502,0.986,-0.207,1.447,-0.958,-0.987,-0.607,-0.965,0.987,-0.951,-0.711,0.576,-1.86,-1.193,0.398,1
0.438,-1.994,-0.466,0.9,-0.743,0.721,2.689,0.146,-0.726,1.887,0.142,0.273,-0.443,-0.586,-0.567,1.288,0.288,-0.071,0.612,0.504,-0.34,-1.331,1.37,0.358,-0.576,-0.298,-0.291,0.701,-0.956,-0.65,1
-0.388,-1.219,-0.116,0.089,0.795,0.515,0.649,0.495,1.661,-0.538,0.662,-0.41,-1.707,-0.91,-0.814,0.26,-1.087,-0.389,0.39,-0.059,0.458,0.3,0.166,-0.063,0.397,-0.247,-2.311,-1.667,0.99,-0.559,0
-0.283,0.93,-0.202,-0.971,-0.566,0.428,0.705,2.023,-0.536,1.104,0.191,1.562,2.002,-0.961,0.076,0.943,-0.208,0.666,1.946,-0.092,0.274,-1.734,-0.58,1.16,-0.662,1.077,1.066,0.413,-0.466,-0.494,1
1.743,1.513,-0.701,-0.216,1.08,-1.072,-0.265,-0.024,-1.828,-0.423,-0.739,-2.277,1.141,1.018,0.086,0.573,0.609,0.338,1.764,-0.024,-1.064,-1.559,-2.173,0.669,-2.075,0.131,1.327,0.828,-0.274,1.374,1
-0.311,0.132,1.522,-0.297,1.164,0.3,-0.812,0.609,0.919,1.377,-0.964,0.336,-1.504,0.996,-1.088,0.43,-1.145,0.492,0.961,-1.573,0.278,0.856,-0.57,-0.784,2.085,0.686,-0.598,-1.598,2.473,-0.367,1
