feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,target
0.882,-0.224,1.101,0.586,1.654,-1.619,0.242,0.813,1.177,0.271,0
-0.495,0.063,-0.277,1.016,-0.285,-0.764,0.893,-0.154,0.941,-0.862,1
0.248,1.477,1.029,0.469,1.159,1.831,-0.652,-1.394,-0.043,-0.51,1
-1.268,-0.091,0.33,-0.567,0.15,0.007,0.126,0.581,-0.353,1.004,1
1.397,1.016,-0.899,1.67,0.38,-0.046,1.53,0.635,-0.503,0.054,1
-1.285,0.498,0.236,-0.54,0.839,-1.378,-0.374,-0.348,0.242,-2.917,1
-0.535,0.204,1.384,-1.112,0.522,0.529,0.901,1.306,0.593,2.082,0
-1.338,1.345,0.214,-0.75,1.105,0.175,1.243,1.385,-1.287,-0.533,1
-2.341,1.949,-0.95,0.89,-1.739,0.009,1.046,-1.151,-0.575,-0.169,1
0.195,0.044,0.962,0.479,-0.321,-0.939,-0.806,1.227,-0.796,-0.197,0
1.339,1.438,0.939,-0.187,-0.051,-1.237,0.38,-0.505,-0.187,-0.264,1
0.352,0.518,0.656,-0.214,1.041,2.136,-2.324,-0.425,-0.012,-0.517,1
-2.685,-0.223,-0.565,-0.534,-1.287,-0.235,-1.73,-1.198,-0.323,-1.463,1
0.35,0.367,0.214,0.043,-1.129,0.562,1.942,0.801,1.21,-2.319,1
-0.879,0.986,-0.467,1.633,-1.128,-0.927,-0.159,0.62,0.489,-0.393,1
-0.366,0.023,-0.689,0.97,-0.195,-0.863,-0.229,-1.087,1.72,0.48,1
0.076,-0.246,0.092,0.672,1.17,1.259,0.758,-0.052,-0.165,1.005,0
-1.133,0.802,0.441,0.04,0.778,1.948,-0.022,0.31,1.181,-0.853,1
-0.843,-0.068,-0.544,-0.972,-1.11,1.232,0.52,0.63,0.472,0.692,1
-1.068,0.532,0.679,-1.124,0.177,1.119,0.341,-0.919,1.069,0.644,1
1.19,-0.537,-0.002,1.412,1.562,0.893,-0.448,-0.317,1.073,1.559,0
