feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,target
1.927,1.487,0.901,-2.106,0.678,-1.235,-0.043,-1.605,-0.752,1.649,0
-0.392,-1.404,-0.728,-0.559,-0.769,0.762,1.642,-0.16,-0.497,0.44,1
-0.758,1.078,0.801,1.681,1.279,1.296,0.61,1.335,-0.232,0.042,0
-0.252,0.86,-1.385,-0.871,-0.223,1.717,0.319,-0.425,0.306,-0.775,1
-1.558,0.996,-0.88,-0.601,-1.274,2.123,-1.235,-0.488,-0.914,-0.658,1
0.078,0.526,-0.488,1.191,-0.814,-0.736,-1.403,0.036,-0.063,0.676,1
-0.098,1.845,-1.185,1.384,1.445,0.856,2.218,0.523,0.347,-0.197,0
-1.055,1.278,-0.172,0.524,0.057,0.426,0.575,-0.642,-2.206,-0.751,1
0.011,-0.339,-1.341,-0.585,0.536,0.525,1.141,0.052,0.744,-0.482,1
-1.049,0.604,-1.722,-0.828,1.335,0.484,-2.51,0.488,0.785,0.029,1
0.641,0.583,1.067,-0.45,-0.185,0.753,0.405,0.178,0.265,1.273,0
-0.001,-0.304,-1.457,-0.102,-0.599,0.477,0.726,0.091,-0.389,0.528,1
-0.013,0.241,0.133,0.764,1.095,0.34,0.72,0.411,1.931,1.012,0
-1.436,-1.13,-0.136,1.635,0.655,0.576,1.142,0.019,-1.806,0.925,1
-0.375,1.033,-0.687,0.637,-0.973,0.958,1.619,1.451,0.269,-0.21,1
-0.733,0.104,0.349,0.968,-0.466,1.605,-2.48,-0.418,-1.195,0.812,1
-1.901,0.229,0.025,-0.346,0.287,-0.731,0.175,-1.094,-1.602,1.353,1
1.289,0.052,-1.547,0.757,0.776,2.027,0.036,0.121,-0.806,-0.208,1
-0.932,-1.591,-1.136,-0.523,-0.519,-1.501,-1.927,0.128,1.023,-0.556,1
0.704,0.71,1.774,-0.922,0.962,-0.337,-1.175,0.358,0.479,1.354,0
0.526,2.112,-0.521,-0.932,0.185,1.069,1.307,0.46,-0.815,-1.021,1
-0.495,-0.592,0.154,0.441,-0.148,-2.318,-0.398,1.08,-1.781,1.508,1
0.309,-0.5,1.035,1.69,-0.005,1.667,0.154,-1.06,-0.573,0.084,1
0.4,1.989,-0.072,-0.906,-2.049,-1.081,0.018,0.078,0.193,0.41,0
-0.929,0.276,-0.539,0.463,-0.872,-0.027,-0.353,1.464,1.255,-0.715,1
0.854,0.513,0.54,0.566,0.506,0.222,-0.685,0.564,-1.507,-1.611,1
-1.479,0.432,-0.125,0.782,-1.599,-0.109,0.715,0.039,1.306,0.247,1
-1.978,0.018,-1.379,0.626,-2.585,-0.024,-0.122,-0.747,1.709,0.058,1
1.193,1.937,0.729,0.981,0.415,1.157,0.269,-0.037,0.973,-1.015,0
-0.542,-0.441,-0.314,-0.129,-0.715,-0.048,2.021,0.254,0.936,0.712,1
-0.032,0.102,1.343,0.713,0.404,-0.714,0.834,-0.959,0.454,1.246,1
-2.307,-1.287,0.18,-2.127,-0.134,-1.041,-0.765,-0.055,1.205,-0.982,1
0.433,-0.717,1.055,-1.453,0.465,0.371,-0.005,0.08,0.378,0.705,1
-1.724,-0.843,0.435,0.266,-0.587,0.083,0.885,0.182,0.786,-0.058,1
0.567,-0.71,-0.488,0.05,0.608,1.631,-0.085,1.084,0.948,-0.677,0
-0.573,-0.33,-0.794,0.375,0.088,-1.241,-0.32,-0.844,-0.551,1.989,1
1.9,1.695,0.028,-0.175,-1.773,-0.705,-0.395,1.887,-0.218,0.166,0
2.144,1.705,0.346,0.642,-0.204,0.685,-0.14,-1.181,-1.283,0.448,0
-0.591,0.854,-0.49,-0.359,0.666,-0.074,-0.21,0.166,1.47,-0.939,1
-0.601,-0.1,-0.985,-2.488,-0.331,0.844,0.987,-0.332,-0.808,0.824,1
0.025,-1.064,-0.76,-0.408,0.962,-0.143,0.153,-0.039,0.945,-1.582,0
0.987,1.146,-0.142,-0.276,-0.193,0.777,0.684,-1.325,-0.516,0.6,1
-0.47,-0.609,-0.046,-1.646,-0.483,-0.74,0.314,0.142,1.035,-0.626,1
-0.515,0.69,-0.494,1.137,-0.462,1.42,0.849,-0.048,0.669,1.043,1
0.69,-1.313,0.038,-1.17,-0.103,1.189,0.761,-0.746,-1.384,0.487,1
-1.002,0.033,-0.429,-0.982,-0.642,0.827,1.591,-0.121,-0.483,0.113,1
0.077,-0.923,-1.262,1.086,1.097,-0.684,0.066,-0.001,0.162,1.196,1
-1.306,-1.404,-1.06,0.306,0.415,-0.717,2.834,1.953,2.049,-1.088,0
1.622,0.851,-0.4,-0.609,-0.508,-0.618,-1.647,-1.036,-0.45,-0.073,1
-0.548,-1.143,-0.449,-0.03,0.383,-0.045,1.18,-0.331,0.65,0.095,1
-0.753,-0.647,-1.282,1.965,-0.964,-2.567,0.71,0.82,0.621,0.423,1
-0.339,0.518,-1.364,0.193,-0.61,0.163,1.51,0.212,-0.725,-0.953,1
0.522,-0.464,0.182,-0.387,-1.791,0.093,-1.915,-0.642,1.344,-1.292,1
0.766,0.645,0.353,-2.647,-1.458,-0.971,0.254,-0.179,1.199,-0.429,0
1.01,0.611,1.221,-0.608,-1.738,-0.125,-1.366,1.112,-0.623,-0.789,0
-0.168,1.643,2.007,-1.253,1.119,1.773,-2.072,-0.413,-0.977,-0.034,1
1.859,2.622,0.369,0.38,0.199,-0.236,0.303,-0.45,0.474,0.65,0
1.166,0.017,0.533,-0.604,-0.174,0.609,-0.803,-1.121,0.196,-0.782,1
-1.79,-0.262,-0.44,2.185,-0.48,-1.287,0.739,0.034,-0.312,-0.254,1
-1.206,-0.954,0.061,0.085,0.748,-0.164,-0.909,0.313,0.805,-1.113,1
0.498,-1.2,0.127,0.44,0.638,0.16,1.77,0.627,-1.874,2.326,1
-0.92,0.666,-0.44,-2.318,1.295,0.223,-0.848,1.649,1.601,-0.079,1
0.431,0.368,0.764,1.179,-0.414,0.518,-0.702,-0.432,0.141,0.071,1
0.563,-0.579,-1.084,-0.389,0.813,1.498,0.044,1.444,0.232,0.506,1
-1.279,-0.038,1.914,0.338,0.125,-0.762,-1.191,0.776,0.456,0.25,1
-1.361,1.802,-0.074,-0.157,-0.871,-0.641,-0.415,-0.69,-0.23,-2.172,1
0.088,1.094,-0.118,-0.299,-0.954,-0.092,-1.017,-0.008,-0.518,0.84,1
0.059,-1.668,2.13,-1.518,0.139,-1.18,-0.53,0.963,0.279,-0.572,0
-2.794,-0.711,0.524,-1.711,0.838,-0.27,0.123,0.876,0.151,0.739,1
0.273,2.731,0.432,-0.309,-0.097,1.542,-0.109,-0.419,1.438,-0.707,1
-1.252,3.025,1.346,0.856,0.322,0.446,1.523,1.28,-0.116,1.371,1
-0.481,-0.99,-1.364,0.008,-0.406,-0.711,-0.35,0.38,0.999,1.275,1
0.959,0.104,0.829,2.092,0.795,0.279,0.186,0.355,0.091,1.742,0
-1.266,0.389,0.343,-1.459,-1.494,-0.221,0.225,-0.077,0.986,1.278,1
0.288,0.869,-0.81,-1.43,0.459,0.531,-1.361,1.956,1.768,-0.986,1
-1.237,-2.302,-0.001,-0.849,-1.659,0.306,1.182,0.326,-0.389,2.854,1
0.824,0.798,1.889,0.593,0.07,-1.603,-0.43,0.576,0.344,-3.102,0
-1.459,-1.432,-0.607,-0.26,-0.719,-0.386,0.523,-0.821,-0.471,0.602,1
-0.283,0.769,-0.767,-0.949,0.017,0.08,0.745,1.345,0.127,-2.452,1
0.416,1.903,-0.735,0.045,-1.521,0.348,0.74,1.416,0.683,-0.138,1
0.921,0.528,-0.008,-1.449,-0.605,-0.179,0.2,-1.246,-0.415,1.456,0
0.332,-1.0,-0.692,-0.472,-1.289,1.076,-1.067,-1.989,0.297,0.434,1
0.003,-1.024,0.224,-0.755,1.368,-0.32,-0.913,1.919,-1.651,2.148,1
-0.66,0.114,-0.221,0.712,0.342,1.589,-0.349,-0.458,-1.232,-0.598,1
-0.282,0.053,0.425,0.483,0.488,1.008,-0.595,0.393,0.823,-0.886,0
1.48,0.839,-0.2,0.995,0.72,-0.134,-1.407,-2.361,-0.29,-0.133,1
-0.157,1.138,-0.251,1.67,-0.545,-2.158,-1.661,-0.664,0.366,-0.399,1
0.497,-2.369,-0.561,-0.595,1.269,1.29,-1.176,-0.078,-0.971,1.472,1
1.411,-1.314,-1.316,-1.252,-1.584,-2.545,1.372,-0.538,0.738,-0.851,1
0.036,1.341,0.92,-0.379,-1.56,-0.801,-0.711,-0.387,0.958,-0.823,1
-2.391,0.322,1.875,1.104,-0.522,-0.74,0.162,-0.237,0.51,1.671,1
1.592,-0.416,1.862,-1.078,0.885,-0.834,1.03,-0.868,-0.57,0.323,0
1.128,-1.212,2.602,-0.096,-0.081,1.259,0.869,-0.961,0.052,-0.328,0
-2.247,-0.448,0.423,-0.387,-0.23,-0.407,0.87,-1.055,-1.328,0.706,1
0.357,0.589,0.919,0.666,0.247,0.133,0.122,0.478,0.276,-0.59,0
0.569,-0.791,-0.199,-1.362,-0.519,0.076,0.34,1.456,-0.346,-0.263,1
-0.448,-0.729,-0.161,-0.321,-0.631,-0.789,1.306,-0.928,-0.263,0.931,1
-0.459,-0.942,-0.709,2.186,-0.649,0.452,0.852,-1.695,1.181,-2.893,1
-0.388,-0.712,-1.617,-0.359,0.051,0.695,1.835,-1.918,-1.392,0.54,1
0.435,-2.272,-0.134,-0.059,0.126,-0.553,0.074,-0.149,-0.552,-0.093,1
-1.028,0.404,2.143,-0.515,1.083,1.25,0.982,0.227,0.493,-0.513,1
0.301,0.077,0.648,-0.432,1.174,0.701,0.667,-0.804,-1.378,-0.441,1
0.142,1.108,0.554,1.582,-1.225,0.963,-1.579,0.672,-0.06,0.07,1
-1.663,-0.765,1.231,0.425,-0.016,-0.107,-1.309,0.66,-0.07,0.274,1
-0.345,-0.12,1.186,-1.22,0.291,-0.08,1.32,-1.52,-0.293,2.107,1
-0.109,0.608,0.789,0.782,-0.065,-0.0,0.683,0.106,0.35,0.121,1
0.298,1.345,1.461,1.057,0.816,-0.824,0.893,-0.387,-0.357,-1.157,0
-1.766,-2.538,0.097,-0.791,0.371,1.512,-0.891,0.525,0.352,0.249,1
1.19,1.411,0.798,0.494,-0.185,-1.038,-0.101,-0.927,0.235,0.089,0
-0.348,0.849,0.201,0.384,1.231,1.229,0.704,-0.056,-1.49,-1.519,1
0.326,-1.458,1.899,-0.041,-0.293,1.398,-0.917,-0.779,-0.418,1.106,1
0.253,-0.108,0.771,-1.13,0.996,-1.181,0.963,-1.105,-0.791,-0.216,1
0.002,-0.21,1.201,0.676,-1.89,0.194,1.602,-1.037,-0.749,-0.384,1
0.144,-0.081,1.126,0.041,-0.065,3.446,-1.113,-0.434,-0.015,0.543,1
0.125,-0.876,1.222,0.327,-0.105,2.477,0.577,0.147,-1.314,-0.606,1
0.645,-0.248,-1.408,-0.08,0.519,1.171,2.178,1.779,0.258,-2.434,0
-0.35,-1.338,-0.439,-0.585,1.807,-0.733,0.409,-0.584,0.106,-0.307,1
0.864,-1.066,-1.013,-0.994,2.908,1.448,-0.561,-0.946,-0.742,0.156,1
-0.258,-0.75,1.235,1.014,1.013,0.635,0.877,0.814,0.197,-0.637,0
-0.877,-1.551,-0.788,0.568,0.762,0.557,1.298,1.756,0.211,1.486,0
0.559,0.349,0.848,2.035,0.377,0.484,-0.03,1.093,-0.506,-0.844,0
-0.221,2.275,-0.783,-0.268,1.568,-0.284,-0.096,1.064,1.489,0.883,1
-0.238,0.547,-0.061,-0.53,-2.036,0.525,-0.697,-0.088,-0.274,1.292,1
-1.446,-0.315,0.113,-1.468,-1.717,-0.55,0.535,-1.339,1.236,-2.037,1
1.417,0.169,-1.142,0.607,-0.833,-0.479,0.3,0.721,-0.618,0.546,1
-0.769,0.079,-0.758,0.942,0.434,1.123,0.506,-1.137,-0.758,0.042,1
-0.69,-0.562,0.825,2.268,-1.773,-0.991,0.635,1.024,0.957,0.019,1
-1.07,-0.752,2.44,-1.913,0.311,-1.476,-0.478,-0.117,-0.631,-1.265,1
-0.295,-0.28,1.084,0.173,0.512,-0.982,1.126,0.255,-0.459,-0.928,1
-0.172,-0.687,-0.133,1.63,-1.546,-0.17,0.028,0.091,0.672,0.985,1
-0.761,-1.273,-0.627,1.371,0.236,-0.447,-1.178,1.413,-0.023,-0.011,1
