,Age,Gender,Race,Education level,Employment status,Monthly income,Marital status,Number of previous criminal offenses,Offense type,Severity of offense,Length of sentence,Release date,Release conditions,label
0,39.79186500205043,Female,Hispanic,Graduate school,False,2599.463277599081,Single,3,Violent crime,Non-violent,18.49538488116474,2018-10-31,House arrest,1
1,44.14136487560063,Female,White,Graduate school,True,1712.2534647684606,Divorced,1,Theft,Violent,8.584307429318017,2018-10-31,House arrest,0
2,44.00683711384318,Male,White,Bachelor's,True,2135.6268536901443,Single,0,Assault,Violent,15.472186078912886,2018-10-31,House arrest,0
3,43.10314646317727,Female,Black,High school,True,1853.665305007349,Married,4,Theft,Violent,6.975739427227735,2018-10-31,House arrest,1
4,36.42080018339966,Male,Hispanic,Graduate school,True,2956.774951821536,Divorced,7,Drug possession,Non-violent,20.59939284030701,2018-10-31,House arrest,0
5,25.19329461225244,Male,Black,Graduate school,False,2523.931429269971,Divorced,4,Theft,Non-violent,15.031083898216162,2018-10-31,House arrest,1
6,40.02732716314021,Female,Other,High school,False,4764.178312969354,Single,3,Theft,Non-violent,16.34637347506123,2018-10-31,House arrest,1
7,27.315786989617067,Male,Other,Graduate school,False,1360.0710341892845,Widowed,0,Murder,Non-violent,-2.3766932869922917,2018-10-31,House arrest,1
8,41.37107219500664,Female,Hispanic,Bachelor's,True,1649.3207387014454,Widowed,8,Murder,Non-violent,27.15007259783736,2018-10-31,House arrest,0
9,30.75508179016629,Male,Hispanic,Graduate school,True,4105.518176666009,Single,10,Murder,Non-violent,6.771545442977099,2018-10-31,House arrest,0
10,29.81071535729847,Female,Hispanic,Graduate school,True,2508.687902900956,Divorced,3,Assault,Non-violent,-9.345920596073336,2018-10-31,House arrest,0
11,35.39221709039032,Female,Black,High school,True,3424.3510403800065,Married,0,Property crime,Violent,3.8249189253616915,2018-10-31,House arrest,1
12,54.507597212789975,Male,Other,Graduate school,True,1753.7384711728628,Single,7,Theft,Violent,19.94704193447039,2018-10-31,House arrest,0
13,43.04626643136878,Male,Black,Bachelor's,False,3129.2021471076728,Single,6,Drug possession,Violent,7.478201052383379,2018-10-31,House arrest,0
14,50.28179838925571,Male,Other,Bachelor's,True,1754.5271436684598,Single,0,Property crime,Non-violent,1.722698138271877,2018-10-31,House arrest,0
