,Thickness,Density,Hardness,Young's Modulus,Tensile Strength,Impact Strength,Surface Roughness,Heat Treatment,Manufacturing Process,label
0,5.71671878608548,7833,268,184.84539247535847,333,23,0.874693400105147,Annealed,Continuous Casting,0
1,5.03711189759553,7828,208,189.78321649313293,314,16,0.3610789068063598,Annealed,Continuous Casting,1
2,5.804542782963908,7822,266,195.3360630378725,314,20,1.493291751488104,Annealed,Sand Casting,0
3,5.4794495017085705,7832,226,187.91408004214884,329,18,1.287275717088567,Tempered,Continuous Casting,0
4,5.701007472373832,7824,230,186.64266604145104,305,21,0.23082631858584296,Tempered,Continuous Casting,0
5,5.969296495472973,7840,273,181.53117823335992,314,17,0.20243783501375281,Annealed,Sand Casting,0
6,5.011367844150319,7810,275,182.54619365117458,336,16,0.4635165225979232,Hardened,Continuous Casting,1
7,5.113955060694494,7806,252,192.86381331764053,330,21,0.36777116199081067,Hardened,Sand Casting,1
8,5.051365125001897,7813,214,189.9513190838513,339,20,1.1341070660536046,Tempered,Continuous Casting,0
9,5.077844612812093,7844,230,180.4100870542203,323,24,0.8108901724882771,Annealed,Continuous Casting,0
10,5.727601992132865,7804,243,188.03863388522447,321,15,1.49365838663116,Hardened,Continuous Casting,0
11,5.07899290941301,7804,276,184.40735649587862,338,19,1.1483116430232838,Hardened,Sand Casting,1
12,5.467175209477832,7837,238,197.72546847670165,303,18,1.4890716440254306,Annealed,Continuous Casting,0
13,5.157554595562228,7835,248,183.13697604383742,323,15,0.507518614153996,Hardened,Continuous Casting,0
14,5.517139090204177,7834,212,190.6812185188101,311,23,1.2703394288670202,Annealed,Sand Casting,0
15,5.793457300909638,7843,248,190.72228536446738,339,20,0.7422168871636075,Tempered,Sand Casting,1
16,5.724558978276804,7809,204,194.21158766662677,312,20,0.21865335620308657,Hardened,Sand Casting,0
17,5.1145257054090605,7839,226,182.8366226191979,308,21,0.38731016835281085,Hardened,Sand Casting,0
18,5.159265961987818,7803,278,199.04501402284095,317,19,1.0666968345978967,Annealed,Sand Casting,1
19,5.584767201457683,7816,277,182.65194842716758,314,20,1.0839485510808138,Hardened,Sand Casting,0
20,5.2110019503371126,7849,200,191.7963070486431,315,24,0.9472369570842716,Tempered,Continuous Casting,0
21,5.408878093414529,7832,203,191.12375604502,323,18,0.25300898289589463,Annealed,Continuous Casting,1
22,5.744511093484531,7832,275,194.23417268265922,328,23,0.41615557764091105,Annealed,Continuous Casting,1
23,5.178398107761934,7809,241,195.55176223409887,337,17,0.9825061833303737,Hardened,Sand Casting,1
24,5.153971161118844,7801,265,180.75934192028285,336,17,0.21723416669994022,Hardened,Sand Casting,1
25,5.085861519923394,7802,244,187.73891462507672,304,24,0.5851604893172639,Hardened,Sand Casting,1
26,5.232071935607189,7847,271,197.32131765090713,325,16,0.2745634478081283,Tempered,Sand Casting,1
27,5.195509999121514,7814,229,189.7142175656902,306,17,1.1330305554747595,Hardened,Sand Casting,1
28,5.3557427907854205,7817,274,181.07485993532086,306,24,1.4579896430472594,Annealed,Continuous Casting,1
29,5.6760660511642005,7814,277,195.4313568288785,307,16,0.9120696376083319,Tempered,Sand Casting,0
30,5.603534917434435,7816,235,180.94566514449136,310,24,0.5899311217674691,Tempered,Sand Casting,0
31,5.34603719991937,7814,262,185.77578488956726,328,23,0.7696530051745651,Tempered,Continuous Casting,1
32,5.9086077480318755,7815,217,189.50531371553384,306,18,0.22894461145121123,Tempered,Sand Casting,0
33,5.356221301740174,7843,238,180.24841905897048,311,18,0.5284027903997494,Tempered,Continuous Casting,0
34,5.047814863577411,7838,251,187.73624623606545,319,15,1.0961820297520048,Hardened,Sand Casting,0
35,5.973921395926147,7825,238,189.38985719592438,337,18,0.6344167660171033,Tempered,Continuous Casting,0
36,5.106941881973818,7825,276,184.42560893039908,301,22,1.1314981964940618,Hardened,Sand Casting,0
37,5.03035354360481,7829,279,189.27107566792841,303,15,1.2223946056598642,Hardened,Sand Casting,0
38,5.239305210251259,7800,227,181.77890467288145,307,16,0.5019469621630355,Annealed,Sand Casting,1
39,5.100478913648368,7814,265,190.57447700066928,329,15,0.34297763184561475,Annealed,Sand Casting,1
40,5.524880027238868,7809,215,194.4476829373989,313,19,0.3626159717539743,Hardened,Sand Casting,0
41,5.849890620397453,7834,271,198.01706342270572,333,18,0.5787492734186164,Hardened,Continuous Casting,1
42,5.373259894415377,7840,265,192.10511166580784,331,19,0.4859093840850378,Hardened,Continuous Casting,1
43,5.380558018566751,7837,271,189.09122707991048,338,19,0.4402055008823834,Annealed,Sand Casting,0
44,5.591688952087297,7842,277,186.73406027600873,330,17,0.9133897439214844,Annealed,Sand Casting,0
45,5.0378869951165965,7800,264,194.17800285370475,316,21,1.215644684613764,Tempered,Sand Casting,1
46,5.861610892529395,7821,206,196.09566471948636,317,17,0.7011131154284085,Tempered,Sand Casting,0
47,5.968125685380665,7842,266,188.77569792131945,331,20,0.35685571018592505,Annealed,Sand Casting,0
48,5.73680582869088,7822,219,199.8334753478054,334,15,1.1893727960230491,Tempered,Sand Casting,1
49,5.42490019427496,7826,239,180.71740652727507,321,21,1.166439543094057,Tempered,Sand Casting,0
50,5.191501702316669,7812,206,190.46106138639993,318,16,0.42863416492766027,Annealed,Sand Casting,0
