,MolWeight,LogP,HBD,HBA,RotatableBonds,AlogP,MolarVolume,PolarSurfaceArea,NumAtoms,label
0,287.27005942368123,0.11079757303171789,3,7,5,0.21699919071127166,213.77335820809486,27.801065036571533,37,1
1,575.3571532049581,2.251405684270149,2,5,5,2.2681574455231535,341.9690909084278,68.90981918695485,38,1
2,465.99697090570254,4.23767501525845,3,0,1,4.375077149471762,337.9486468418141,140.32579119473533,20,1
3,399.3292420985183,3.393349318457367,5,3,0,3.2390680042503703,297.09142230441415,85.39568718241279,25,1
4,178.00932022121827,3.8393668871686986,1,6,1,3.6402346824306777,203.16607162783572,106.0745373550633,36,1
5,177.99726016810132,2.952700200264304,5,1,3,2.978751942449679,174.25455455927235,138.63791492688074,29,1
6,129.04180608409973,3.1536593871071146,1,8,1,3.181309001444503,166.05964396428146,133.59330975458448,10,1
7,533.0880728874677,4.0951739093919155,0,7,0,3.761223891566491,298.1740166607194,85.23664882026642,25,0
8,400.5575058716044,0.49800805315511565,4,7,6,0.43565044403491415,356.2588297857,76.89401934548826,28,1
9,454.03628889802275,1.9365497818588429,5,6,7,1.8356835504204974,364.5826079452312,64.16004040234633,30,1
10,110.29224714790122,0.32725665091761336,3,3,5,0.1880620268472977,265.90551858586247,113.47252761117585,31,1
11,584.9549260809972,4.926008047979882,0,1,3,4.8249038715189005,346.0678248266792,57.30828393130062,18,1
12,516.2213204002109,4.66435603811968,4,2,5,4.7239348182796155,386.72004908525594,52.485388836017016,18,0
13,206.16955533913807,-0.7634391317889646,3,5,2,-0.8651796339179354,218.79252812201702,66.31248629849142,18,1
14,190.9124836035503,3.233451035094131,2,4,7,3.135138821635947,249.4900865951893,43.037957394242966,36,1
15,191.7022549267169,4.5514899044939945,3,7,9,4.389609373608226,382.86974814917016,110.36557607294975,26,1
16,252.12112147976887,0.08345207076400118,1,5,1,0.2103430350155838,234.55774182932123,100.1112844129796,21,1
17,362.37821581611894,2.407671383315777,1,5,4,2.4511346198628403,378.46907258044905,82.77420943505967,34,1
18,315.9725093210579,4.492929785528251,2,0,0,4.243694165237961,395.2612155636165,70.74235130400211,22,1
19,245.61457009902097,-0.796324128485207,0,3,5,-0.8945481364075256,315.4526821436062,138.1781305765751,17,1
20,405.92644736118973,3.1845216034810395,4,4,1,3.2373733919205323,354.2225723760421,23.786092048583686,25,1
21,169.7469303260209,0.7840940442353046,3,2,3,0.9122332991335883,337.3863910552713,119.98400665594889,27,1
