feature_1,feature_2,feature_3,feature_4,feature_5,target
1.586,1.125,1.831,0.113,0.498,1
1.501,-0.141,-0.352,-0.164,-1.165,1
-0.409,-0.525,-1.315,0.603,-0.812,0
0.592,-1.227,-0.96,1.712,-0.015,0
0.425,-1.345,1.611,0.591,0.164,1
1.251,0.517,-0.808,-2.079,0.637,1
1.382,-0.916,1.154,0.116,-1.198,1
0.361,-1.031,1.145,-0.418,-0.804,1
0.213,-0.937,-1.146,0.226,0.499,0
0.211,-1.585,0.598,0.447,-1.175,0
-0.026,-1.786,-0.134,-0.189,-0.323,0
1.34,0.395,-1.087,-0.671,-0.11,1
1.925,-0.027,-0.343,-1.122,2.126,1
-0.486,-0.903,-0.849,1.012,0.929,0
1.279,-1.317,1.247,-1.105,-0.83,1
0.168,0.185,-0.287,0.684,-0.016,0
-0.157,0.16,0.54,-1.043,-2.352,1
-1.5,1.588,-2.812,0.241,1.253,0
-1.166,2.568,-0.636,-0.11,1.253,1
0.95,1.253,-0.426,-0.535,-0.577,1
1.973,0.163,-0.539,-0.535,-0.945,1
2.277,0.681,0.741,-0.291,0.66,1
-0.066,-2.497,-0.459,-0.832,0.288,0
-0.044,-0.194,-0.161,-0.669,1.59,1
-1.418,-1.502,0.086,-0.606,-2.065,0
-0.279,0.329,-1.53,0.569,0.121,0
0.758,0.154,-1.668,-0.753,0.847,1
1.214,-0.821,1.601,0.298,0.247,1
-0.458,0.945,-0.245,0.987,-0.343,0
0.058,0.357,-0.266,-0.387,1.726,1
-0.123,-0.809,1.4,0.33,-0.251,1
-0.495,1.019,0.63,-0.4,-0.035,1
-0.702,1.173,0.906,0.304,0.546,1
-0.942,-1.966,-1.36,-1.343,-1.316,0
-1.826,0.643,-0.792,1.352,0.719,0
-0.394,0.977,-0.427,-1.838,-0.18,1
-1.453,0.186,1.453,-1.016,-0.286,1
-1.467,0.685,0.487,-1.01,-0.543,1
0.911,0.302,-0.708,-0.928,-0.079,1
-0.24,-1.319,-0.828,-1.106,-0.524,0
1.466,0.649,1.005,0.567,0.438,1
-0.697,-1.231,-0.98,-0.591,-0.05,0
-0.509,-1.242,1.82,0.235,0.374,1
0.438,-1.324,0.003,1.05,0.756,0
2.05,1.149,-0.654,0.856,1.527,1
-0.38,-0.963,0.486,0.56,-0.001,0
-1.032,0.51,1.012,-0.837,0.24,1
1.605,-1.056,-0.576,0.57,0.248,0
0.006,2.941,1.436,-1.653,-0.121,1
-1.225,2.259,0.885,0.421,-0.461,1
-0.644,0.951,-1.118,0.148,0.624,0
-0.346,-0.53,-0.685,-0.183,1.111,1
