feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,target
1.927,1.487,0.901,-2.106,0.678,-1.235,-0.043,-1.605,-0.752,1.649,-0.392,-1.404,-0.728,-0.559,-0.769,0.762,1.642,-0.16,-0.497,0.44,0
-0.758,1.078,0.801,1.681,1.279,1.296,0.61,1.335,-0.232,0.042,-0.252,0.86,-1.385,-0.871,-0.223,1.717,0.319,-0.425,0.306,-0.775,1
-1.558,0.996,-0.88,-0.601,-1.274,2.123,-1.235,-0.488,-0.914,-0.658,0.078,0.526,-0.488,1.191,-0.814,-0.736,-1.403,0.036,-0.063,0.676,0
-0.098,1.845,-1.185,1.384,1.445,0.856,2.218,0.523,0.347,-0.197,-1.055,1.278,-0.172,0.524,0.057,0.426,0.575,-0.642,-2.206,-0.751,0
0.011,-0.339,-1.341,-0.585,0.536,0.525,1.141,0.052,0.744,-0.482,-1.049,0.604,-1.722,-0.828,1.335,0.484,-2.51,0.488,0.785,0.029,0
0.641,0.583,1.067,-0.45,-0.185,0.753,0.405,0.178,0.265,1.273,-0.001,-0.304,-1.457,-0.102,-0.599,0.477,0.726,0.091,-0.389,0.528,0
-0.013,0.241,0.133,0.764,1.095,0.34,0.72,0.411,1.931,1.012,-1.436,-1.13,-0.136,1.635,0.655,0.576,1.142,0.019,-1.806,0.925,0
-0.375,1.033,-0.687,0.637,-0.973,0.958,1.619,1.451,0.269,-0.21,-0.733,0.104,0.349,0.968,-0.466,1.605,-2.48,-0.418,-1.195,0.812,0
-1.901,0.229,0.025,-0.346,0.287,-0.731,0.175,-1.094,-1.602,1.353,1.289,0.052,-1.547,0.757,0.776,2.027,0.036,0.121,-0.806,-0.208,0
-0.932,-1.591,-1.136,-0.523,-0.519,-1.501,-1.927,0.128,1.023,-0.556,0.704,0.71,1.774,-0.922,0.962,-0.337,-1.175,0.358,0.479,1.354,1
0.526,2.112,-0.521,-0.932,0.185,1.069,1.307,0.46,-0.815,-1.021,-0.495,-0.592,0.154,0.441,-0.148,-2.318,-0.398,1.08,-1.781,1.508,0
0.309,-0.5,1.035,1.69,-0.005,1.667,0.154,-1.06,-0.573,0.084,0.4,1.989,-0.072,-0.906,-2.049,-1.081,0.018,0.078,0.193,0.41,1
-0.929,0.276,-0.539,0.463,-0.872,-0.027,-0.353,1.464,1.255,-0.715,0.854,0.513,0.54,0.566,0.506,0.222,-0.685,0.564,-1.507,-1.611,0
